com.samsung.shealth.stress,6086003,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2020-02-26 19:03:01.412,UTC+0000,88.0,,2020-02-26 18:59:59.999,Jfw01OFXaN,2020-02-26 18:00:00.000,16.0,com.sec.android.app.shealth,2020-02-26 19:03:01.412,1.0,2f6d6d35-9ae0-35ca-39b3-c681c65b7b1f.binning_data.json,2f6d6d35-9ae0-35ca-39b3-c681c65b7b1f,10011,,1
2020-02-26 20:01:05.693,UTC+0000,98.0,,2020-02-26 19:59:59.999,Jfw01OFXaN,2020-02-26 19:00:00.000,49.0,com.sec.android.app.shealth,2020-02-26 20:01:05.693,1.0,fd3c558e-02ef-28b2-d1ef-6a0765353e42.binning_data.json,fd3c558e-02ef-28b2-d1ef-6a0765353e42,10011,,1
2020-02-26 21:09:53.588,UTC+0000,100.0,,2020-02-26 20:59:59.999,Jfw01OFXaN,2020-02-26 20:00:00.000,10.0,com.sec.android.app.shealth,2020-02-26 21:09:53.588,0.0,2e40c9ab-51a7-c305-d5eb-180fc0782ec0.binning_data.json,2e40c9ab-51a7-c305-d5eb-180fc0782ec0,10011,,1
2020-02-26 21:56:01.903,UTC+0000,1.0,,2020-02-26 21:56:01.899,Jfw01OFXaN,2020-02-26 21:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 21:56:01.903,0.0,5f2bfbc4-55ba-9915-8cc7-e6239b1e1b9f.binning_data.json,5f2bfbc4-55ba-9915-8cc7-e6239b1e1b9f,10011,,1
2020-02-27 08:07:54.414,UTC+0000,0.0,,2020-02-27 07:59:59.999,Jfw01OFXaN,2020-02-27 07:00:00.000,0.0,com.sec.android.app.shealth,2020-02-27 08:07:54.414,0.0,c18504f4-8711-3f25-e6a7-92a617b72eda.binning_data.json,c18504f4-8711-3f25-e6a7-92a617b72eda,10011,,1
2020-02-27 08:07:54.442,UTC+0000,5.0,,2020-02-27 08:59:59.999,Jfw01OFXaN,2020-02-27 08:00:00.000,0.0,com.sec.android.app.shealth,2020-02-27 09:03:09.409,0.0,29e15578-e810-2f24-5fdc-39ce428f2f5d.binning_data.json,29e15578-e810-2f24-5fdc-39ce428f2f5d,10011,,1
2020-02-27 10:01:54.689,UTC+0000,100.0,,2020-02-27 09:59:59.999,Jfw01OFXaN,2020-02-27 09:00:00.000,16.0,com.sec.android.app.shealth,2020-02-27 10:01:54.689,0.0,b53cce88-bcfd-b781-cff9-1f5e3c39529d.binning_data.json,b53cce88-bcfd-b781-cff9-1f5e3c39529d,10011,,1
2020-02-27 11:10:01.516,UTC+0000,100.0,,2020-02-27 10:59:59.999,Jfw01OFXaN,2020-02-27 10:00:00.000,26.0,com.sec.android.app.shealth,2020-02-27 11:10:01.516,0.0,b4d2a690-3beb-71e1-86e6-226ecef4883d.binning_data.json,b4d2a690-3beb-71e1-86e6-226ecef4883d,10011,,1
2020-02-27 12:08:14.645,UTC+0000,70.0,,2020-02-27 11:59:59.999,Jfw01OFXaN,2020-02-27 11:00:00.000,14.0,com.sec.android.app.shealth,2020-02-27 12:08:14.645,0.0,f5368575-dc5f-4d7e-3716-092f6010ccb4.binning_data.json,f5368575-dc5f-4d7e-3716-092f6010ccb4,10011,,1
2020-02-27 13:01:26.589,UTC+0000,92.0,,2020-02-27 12:59:59.999,Jfw01OFXaN,2020-02-27 12:00:00.000,31.0,com.sec.android.app.shealth,2020-02-27 13:01:26.589,0.0,beb82c10-759a-e110-84c1-500a9f894f2c.binning_data.json,beb82c10-759a-e110-84c1-500a9f894f2c,10011,,1
2020-02-27 14:01:44.369,UTC+0000,50.0,,2020-02-27 13:59:59.999,Jfw01OFXaN,2020-02-27 13:00:00.000,2.0,com.sec.android.app.shealth,2020-02-27 14:01:44.369,0.0,aa71a3e7-a07b-6b5b-1f2d-74d4cdf0f569.binning_data.json,aa71a3e7-a07b-6b5b-1f2d-74d4cdf0f569,10011,,1
2020-02-27 15:01:02.434,UTC+0000,94.0,,2020-02-27 14:59:59.999,Jfw01OFXaN,2020-02-27 14:00:00.000,30.0,com.sec.android.app.shealth,2020-02-27 15:01:02.434,0.0,c8ce59b6-0d5c-1fe0-8480-d0b0cb8627c8.binning_data.json,c8ce59b6-0d5c-1fe0-8480-d0b0cb8627c8,10011,,1
2020-02-27 16:04:59.688,UTC+0000,99.0,,2020-02-27 15:59:59.999,Jfw01OFXaN,2020-02-27 15:00:00.000,27.0,com.sec.android.app.shealth,2020-02-27 16:04:59.688,0.0,0cbe1fd3-795e-af06-fded-c1e86eb94022.binning_data.json,0cbe1fd3-795e-af06-fded-c1e86eb94022,10011,,1
2020-02-27 17:05:19.657,UTC+0000,99.0,,2020-02-27 16:59:59.999,Jfw01OFXaN,2020-02-27 16:00:00.000,13.0,com.sec.android.app.shealth,2020-02-27 17:05:19.657,0.0,1f393821-b212-f813-e5f2-a648f7eb0b83.binning_data.json,1f393821-b212-f813-e5f2-a648f7eb0b83,10011,,1
2020-02-27 18:02:50.478,UTC+0000,7.0,,2020-02-27 17:59:59.999,Jfw01OFXaN,2020-02-27 17:00:00.000,0.0,com.sec.android.app.shealth,2020-02-27 18:02:50.478,0.0,88e520ee-363b-0fa7-ab5d-d72539bb57a2.binning_data.json,88e520ee-363b-0fa7-ab5d-d72539bb57a2,10011,,1
2020-02-27 19:06:19.334,UTC+0000,11.0,,2020-02-27 18:59:59.999,Jfw01OFXaN,2020-02-27 18:00:00.000,0.0,com.sec.android.app.shealth,2020-02-27 19:06:19.334,0.0,f9b46c36-d9c4-b1dd-0769-3f7a2711648e.binning_data.json,f9b46c36-d9c4-b1dd-0769-3f7a2711648e,10011,,1
2020-02-27 20:02:11.307,UTC+0000,100.0,,2020-02-27 19:59:59.999,Jfw01OFXaN,2020-02-27 19:00:00.000,21.0,com.sec.android.app.shealth,2020-02-27 20:02:11.307,0.0,6a1d923e-4cf2-1d70-0bea-84237fc82046.binning_data.json,6a1d923e-4cf2-1d70-0bea-84237fc82046,10011,,1
2020-02-27 21:05:20.414,UTC+0000,100.0,,2020-02-27 20:59:59.999,Jfw01OFXaN,2020-02-27 20:00:00.000,36.0,com.sec.android.app.shealth,2020-02-27 21:05:20.414,0.0,48a61f3b-d757-0bea-b330-408632491e0e.binning_data.json,48a61f3b-d757-0bea-b330-408632491e0e,10011,,1
2020-02-27 22:03:57.686,UTC+0000,6.0,,2020-02-27 21:59:59.999,Jfw01OFXaN,2020-02-27 21:00:00.000,2.0,com.sec.android.app.shealth,2020-02-27 22:03:57.686,1.0,5da4dd9c-1aaf-58fa-b2b7-755df2dbd41f.binning_data.json,5da4dd9c-1aaf-58fa-b2b7-755df2dbd41f,10011,,1
2020-02-28 00:45:24.850,UTC+0000,3.0,,2020-02-28 00:45:24.844,Jfw01OFXaN,2020-02-28 00:00:00.000,0.0,com.sec.android.app.shealth,2020-02-28 00:45:24.850,0.0,79e87a3a-8e17-6f97-e824-deaec2b27e70.binning_data.json,79e87a3a-8e17-6f97-e824-deaec2b27e70,10011,,1
2020-02-28 03:25:41.760,UTC+0000,41.0,,2020-02-28 03:59:59.999,Jfw01OFXaN,2020-02-28 03:00:00.000,1.0,com.sec.android.app.shealth,2020-02-28 12:59:26.381,0.0,5fca1e16-fbf4-fc75-be2b-7caa70a0c539.binning_data.json,5fca1e16-fbf4-fc75-be2b-7caa70a0c539,10011,,1
2020-02-28 12:59:28.802,UTC+0000,43.0,,2020-02-28 12:59:59.999,Jfw01OFXaN,2020-02-28 12:00:00.000,34.0,com.sec.android.app.shealth,2020-02-28 20:23:11.267,17.0,9958bab5-2e8f-2349-1ed5-38984fdca4b8.binning_data.json,9958bab5-2e8f-2349-1ed5-38984fdca4b8,10011,,1
2020-02-28 21:03:12.442,UTC+0000,57.0,,2020-02-28 20:59:59.999,Jfw01OFXaN,2020-02-28 20:00:00.000,7.0,com.sec.android.app.shealth,2020-02-28 21:03:12.442,1.0,f4e083ce-cf32-ad81-2b35-879cb88e8d4e.binning_data.json,f4e083ce-cf32-ad81-2b35-879cb88e8d4e,10011,,1
2020-02-29 00:04:16.383,UTC+0000,100.0,,2020-02-28 23:59:59.999,Jfw01OFXaN,2020-02-28 23:00:00.000,94.0,com.sec.android.app.shealth,2020-02-29 00:04:16.383,2.0,d365ae7d-2702-7f56-6b9c-883280bdd563.binning_data.json,d365ae7d-2702-7f56-6b9c-883280bdd563,10011,,1
2020-02-29 02:05:25.379,UTC+0000,85.0,,2020-02-29 01:59:59.999,Jfw01OFXaN,2020-02-29 01:00:00.000,49.0,com.sec.android.app.shealth,2020-02-29 02:05:25.379,0.0,002eef43-ec0c-a637-368e-106263686464.binning_data.json,002eef43-ec0c-a637-368e-106263686464,10011,,1
2020-02-29 03:05:29.378,UTC+0000,86.0,,2020-02-29 02:59:59.999,Jfw01OFXaN,2020-02-29 02:00:00.000,35.0,com.sec.android.app.shealth,2020-02-29 03:05:29.378,14.0,8e4533cb-bcdd-aae4-ff0e-48731320f6ec.binning_data.json,8e4533cb-bcdd-aae4-ff0e-48731320f6ec,10011,,1
2020-02-29 04:05:31.447,UTC+0000,65.0,,2020-02-29 03:59:59.999,Jfw01OFXaN,2020-02-29 03:00:00.000,20.0,com.sec.android.app.shealth,2020-02-29 04:05:31.447,0.0,a174d7da-61f8-fca5-9542-cde138ab08bc.binning_data.json,a174d7da-61f8-fca5-9542-cde138ab08bc,10011,,1
